index,artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
0,Britney Spears,Oops!...I Did It Again,0.834,0.751,-5.444,0.3,0.0437,0.355,0.894,95.053,211.16,1
1,blink-182,All The Small Things,0.897,0.434,-4.918,0.0103,0.0488,0.612,0.684,148.726,167.07,1
2,Faith Hill,Breathe,0.496,0.529,-9.007,0.173,0.029,0.251,0.278,136.859,250.55,1
3,Bon Jovi,It's My Life,0.913,0.551,-4.063,0.0263,0.0466,0.347,0.544,119.992,224.49,1
4,*NSYNC,Bye Bye Bye,0.928,0.614,-4.806,0.0408,0.0516,0.0845,0.879,172.656,200.56,1
5,Sisqo,Thong Song,0.888,0.706,-6.959,0.119,0.0654,0.07,0.714,121.549,253.73,1
6,Eminem,The Real Slim Shady,0.661,0.949,-4.244,0.0302,0.0572,0.0454,0.76,104.504,284.2,1
7,Robbie Williams,Rock DJ,0.772,0.708,-4.264,0.0267,0.0322,0.467,0.861,103.035,258.56,1
8,Destiny's Child,Say My Name,0.678,0.713,-3.525,0.273,0.102,0.149,0.734,138.009,271.33,1
9,Modjo,Lady - Hear Me Tonight,0.808,0.72,-5.627,0.00793,0.0379,0.0634,0.869,126.041,307.15,1
10,Gigi D'Agostino,L'Amour Toujours,0.728,0.617,-7.932,0.0328,0.0292,0.36,0.808,139.066,238.76,1
11,Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,0.958,0.745,-9.664,0.0813,0.0287,0.533,0.96,129.962,268.86,1
12,Bomfunk MC's,Freestyler,0.922,0.822,-5.798,0.0291,0.0989,0.252,0.568,163.826,306.33,1
13,Sting,Desert Rose,0.659,0.586,-7.92,0.011,0.0304,0.106,0.147,111.989,285.96,1
14,Melanie C,Never Be The Same Again,0.685,0.689,-5.153,0.0921,0.0478,0.119,0.398,160.067,294.2,1
15,Aaliyah,Try Again,0.622,0.797,-5.642,0.0807,0.29,0.0841,0.731,93.02,284.0,1
