artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Britney Spears,Oops!...I Did It Again,0.834,0.751,-5.444,0.3,0.0437,0.355,0.894,95.053,211160
blink-182,All The Small Things,0.897,0.434,-4.918,0.0103,0.0488,0.612,0.684,148.726,167066
Faith Hill,Breathe,0.496,0.529,-9.007,0.173,0.029,0.251,0.278,136.859,250546
Bon Jovi,It's My Life,0.913,0.551,-4.063,0.0263,0.0466,0.347,0.544,119.992,224493
*NSYNC,Bye Bye Bye,0.928,0.614,-4.806,0.0408,0.0516,0.0845,0.879,172.656,200560
Sisqo,Thong Song,0.888,0.706,-6.959,0.119,0.0654,0.07,0.714,121.549,253733
Eminem,The Real Slim Shady,0.661,0.949,-4.244,0.0302,0.0572,0.0454,0.76,104.504,284200
Robbie Williams,Rock DJ,0.772,0.708,-4.264,0.0267,0.0322,0.467,0.861,103.035,258560
Destiny's Child,Say My Name,0.678,0.713,-3.525,0.273,0.102,0.149,0.734,138.009,271333
Modjo,Lady - Hear Me Tonight,0.808,0.72,-5.627,0.00793,0.0379,0.0634,0.869,126.041,307153
Gigi D'Agostino,L'Amour Toujours,0.728,0.617,-7.932,0.0328,0.0292,0.36,0.808,139.066,238759
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,0.958,0.745,-9.664,0.0813,0.0287,0.533,0.96,129.962,268863
Bomfunk MC's,Freestyler,0.922,0.822,-5.798,0.0291,0.0989,0.252,0.568,163.826,306333
Sting,Desert Rose,0.659,0.586,-7.92,0.011,0.0304,0.106,0.147,111.989,285960
Melanie C,Never Be The Same Again,0.685,0.689,-5.153,0.0921,0.0478,0.119,0.398,160.067,294200
Aaliyah,Try Again,0.622,0.797,-5.642,0.0807,0.29,0.0841,0.731,93.02,284000
Anastacia,I'm Outta Love - Radio Edit,0.716,0.761,-5.8,0.396,0.056,0.0771,0.649,119.41,245400
Alice Deejay,Better Off Alone,0.88,0.671,-6.149,0.00181,0.0552,0.285,0.782,136.953,214883
Gigi D'Agostino,The Riddle,0.876,0.74,-6.87,0.0173,0.0369,0.0785,0.825,127.002,285426
Dr. Dre,The Next Episode,0.909,0.922,-2.429,0.0281,0.27,0.0856,0.309,95.295,161506
Linkin Park,In the End,0.864,0.556,-5.87,0.00958,0.0584,0.209,0.4,105.143,216880
Tom Jones,Sexbomb,0.876,0.801,-3.94,0.144,0.0446,0.104,0.932,122.979,211893
Sonique,It Feels So Good,0.677,0.634,-7.278,0.0117,0.0304,0.126,0.558,135.012,240866
M.O.P.,Cold as Ice,0.88,0.656,-5.425,0.0421,0.143,0.294,0.758,85.565,244466
Melanie C,I Turn To You,0.803,0.522,-5.825,0.00117,0.0327,0.31,0.0783,135.205,352173
Limp Bizkit,Take A Look Around,0.852,0.425,-5.607,0.0175,0.046,0.0935,0.512,101.968,321040
Darude,Sandstorm,0.965,0.528,-7.984,0.141,0.0465,0.0797,0.587,136.065,225493
Da Brat,What'chu Like (feat. Tyrese),0.681,0.879,-8.951,0.017,0.24,0.0669,0.817,99.974,221160
Moloko,The Time Is Now,0.743,0.682,-10.644,0.35,0.165,0.277,0.546,127.962,318280
Chicane,Don't Give Up,0.72,0.644,-9.635,0.00145,0.0419,0.0839,0.53,132.017,210786
DMX,Party Up,0.931,0.51,-3.302,0.0738,0.347,0.5,0.53,201.936,268866
Debelah Morgan,Dance with Me,0.674,0.85,-7.981,0.309,0.0373,0.0356,0.74,115.005,220106
