artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Harry Styles,As It Was,0.731,0.52,-5.338,0.342,0.0557,0.311,0.662,173.93,167303
Glass Animals,Heat Waves,0.525,0.761,-6.9,0.44,0.0944,0.0921,0.531,80.87,238805
The Kid LAROI,STAY (with Justin Bieber),0.764,0.591,-5.484,0.0383,0.0483,0.103,0.478,169.928,141806
Bad Bunny,Me Porto Bonito,0.712,0.911,-5.105,0.0901,0.0817,0.0933,0.425,92.005,178567
Bad Bunny,Tití Me Preguntó,0.715,0.65,-5.198,0.0993,0.253,0.126,0.187,106.672,243717
Elton John,Cold Heart - PNAU Remix,0.798,0.796,-6.312,0.034,0.0317,0.0952,0.942,116.032,202735
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0.783,0.728,-4.424,0.237,0.266,0.434,0.555,77.011,173381
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",0.782,0.621,-5.548,0.0125,0.044,0.23,0.55,128.033,198938
Bad Bunny,Ojitos Lindos,0.686,0.647,-5.745,0.08,0.0413,0.528,0.268,79.928,258299
Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,0.533,0.625,-11.903,0.659,0.0596,0.0546,0.139,108.296,300840
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.704,0.736,-7.409,0.0203,0.0615,0.0501,0.894,149.995,212000
GAYLE,abcdefu,0.54,0.695,-5.692,0.299,0.0493,0.367,0.415,121.932,168602
Bad Bunny,Efecto,0.475,0.801,-8.797,0.141,0.0516,0.0639,0.234,98.047,213061
Justin Bieber,Ghost,0.741,0.601,-5.569,0.185,0.0478,0.415,0.441,153.96,153190
Joji,Glimpse of Us,0.317,0.44,-9.258,0.891,0.0531,0.141,0.268,169.914,233456
Bad Bunny,Moscow Mule,0.674,0.804,-5.453,0.294,0.0333,0.115,0.292,99.968,245940
Ed Sheeran,Shivers,0.859,0.788,-2.724,0.281,0.0856,0.0424,0.822,141.02,207853
Adele,Easy On Me,0.366,0.604,-7.519,0.578,0.0282,0.133,0.13,141.981,224695
Elley Duhé,MIDDLE OF THE NIGHT,0.611,0.41,-8.271,0.0228,0.0467,0.116,0.0899,185.727,184448
Doja Cat,Woman,0.764,0.824,-4.175,0.0888,0.0854,0.117,0.881,107.998,172627
The Neighbourhood,Sweater Weather,0.807,0.612,-2.81,0.0495,0.0336,0.101,0.398,124.053,240400
Rauw Alejandro,Desesperados,0.694,0.869,-3.35,0.356,0.0783,0.0878,0.511,90.02,224997
Tom Odell,Another Love,0.537,0.445,-8.532,0.695,0.04,0.0944,0.131,122.769,244360
KAROL G,PROVENZA,0.516,0.87,-8.006,0.656,0.0541,0.11,0.53,111.005,210200
Camila Cabello,Bam Bam (feat. Ed Sheeran),0.697,0.756,-6.377,0.182,0.0401,0.333,0.956,94.996,206071
Jack Harlow,First Class,0.582,0.902,-5.902,0.111,0.109,0.111,0.332,107.005,173948
The Weeknd,Blinding Lights,0.73,0.514,-5.934,0.00146,0.0598,0.0897,0.334,171.005,200040
Becky G,MAMIII,0.7,0.843,-3.563,0.0934,0.0803,0.14,0.899,93.991,226088
Lost Frequencies,Where Are You Now,0.636,0.671,-8.117,0.515,0.103,0.172,0.262,120.966,148197
Ed Sheeran,Bad Habits,0.893,0.807,-3.745,0.0451,0.0347,0.366,0.537,126.011,230747
Farruko,Pepas,0.766,0.762,-3.955,0.00776,0.0343,0.128,0.442,130.001,287120
Olivia Rodrigo,good 4 u,0.664,0.563,-5.044,0.335,0.154,0.0849,0.688,166.928,178147
Ruth B.,Dandelions,0.692,0.609,-2.958,0.0157,0.0259,0.0864,0.454,116.959,233720
Lizzo,About Damn Time,0.743,0.836,-6.305,0.0995,0.0656,0.335,0.722,108.966,191822
Lil Nas X,THATS WHAT I WANT,0.846,0.737,-4.51,0.00614,0.22,0.0486,0.546,87.981,143901
OneRepublic,I Ain't Worried,0.797,0.704,-5.927,0.0826,0.0475,0.0546,0.825,139.994,148486
Coldplay,My Universe,0.711,0.573,-6.268,0.0114,0.0406,0.328,0.47,105.006,226198
Manuel Turizo,La Bachata,0.679,0.835,-5.329,0.583,0.0364,0.218,0.85,124.98,162638
Cris Mj,Una Noche en Medellín,0.548,0.87,-5.253,0.0924,0.077,0.0534,0.832,96.018,153750
The Walters,I Love You So,0.648,0.575,-4.891,0.583,0.0358,0.115,0.466,75.977,160240
Jaymes Young,Infinity,0.673,0.671,-6.941,0.148,0.0444,0.304,0.494,121.963,237720
Bad Bunny,Party,0.799,0.829,-5.389,0.0151,0.0897,0.242,0.471,97.013,227629
Harry Styles,Watermelon Sugar,0.816,0.548,-4.209,0.122,0.0465,0.335,0.557,95.39,174000
Tiësto,The Motto,0.763,0.754,-4.627,0.0301,0.0435,0.0901,0.464,117.953,164819
Olivia Rodrigo,traitor,0.339,0.38,-7.885,0.691,0.0338,0.12,0.0849,100.607,229227
Harry Styles,Late Night Talking,0.728,0.714,-4.595,0.298,0.0468,0.106,0.901,114.996,177955
Stephen Sanchez,Until I Found You,0.508,0.539,-6.05,0.727,0.0288,0.174,0.227,101.358,177720
Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.703,0.639,-6.33,0.0889,0.0794,0.0865,0.138,169.888,207301
Bad Bunny,Yonaguni,0.648,0.644,-4.601,0.276,0.118,0.135,0.44,179.951,206710
Bad Bunny,Tarot,0.684,0.795,-3.971,0.0225,0.0419,0.658,0.419,114.011,237895
P!nk,Never Gonna Not Dance Again,0.802,0.668,-4.005,0.0273,0.0917,0.163,0.769,113.796,225789
ROSALÍA,DESPECHÁ,0.623,0.919,-6.521,0.184,0.0992,0.0609,0.775,130.037,157018
Beyoncé,CUFF IT,0.689,0.78,-5.668,0.0368,0.141,0.0698,0.642,115.042,225389
Steve Lacy,Bad Habit,0.494,0.686,-7.093,0.613,0.0355,0.402,0.7,168.946,232067
Rosa Linn,SNAP,0.636,0.565,-8.198,0.107,0.0638,0.447,0.525,170.01,179551
Romeo Santos,El Pañuelo,0.71,0.839,-3.823,0.0534,0.0409,0.283,0.661,129.997,234787
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),0.715,0.637,-4.971,0.148,0.0455,0.0892,0.308,141.872,210576
JVKE,golden hour,0.593,0.515,-4.801,0.653,0.0322,0.25,0.153,94.467,209260
Pharrell Williams,Down In Atlanta,0.819,0.851,-5.173,0.337,0.212,0.0658,0.903,83.154,164041
Beyoncé,BREAK MY SOUL,0.887,0.693,-5.039,0.0581,0.0795,0.27,0.864,114.942,278282
Chris Brown,Under The Influence,0.69,0.733,-5.529,0.0635,0.0427,0.105,0.31,116.992,184613
Oxlade,KU LO SA - A COLORS SHOW,0.655,0.649,-5.534,0.307,0.0652,0.22,0.793,92.9,147581
SZA,Shirt,0.453,0.824,-9.604,0.146,0.0968,0.0896,0.552,119.959,181831
Måneskin,THE LONELIEST,0.595,0.519,-5.001,0.00151,0.0283,0.0762,0.237,129.786,247067
Isabel LaRosa,i'm yours,0.705,0.398,-7.07,0.204,0.0756,0.443,0.635,111.487,145668
Black Eyed Peas,DOUBLE D'Z,0.772,0.925,-5.694,0.354,0.136,0.082,0.312,105.009,200192
ROSALÍA,CHIRI,0.556,0.407,-6.098,0.633,0.172,0.693,0.474,161.985,120991
The Rudeboyz,Ojalá,0.624,0.765,-4.932,0.325,0.0929,0.104,0.277,92.984,189080
Nicky Youre,Sunroof,0.714,0.768,-5.11,0.352,0.0401,0.15,0.842,131.443,163026
DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),0.461,0.718,-7.676,0.068,0.0797,0.283,0.181,129.953,178176
Lizzo,About Damn Time,0.743,0.836,-6.305,0.0974,0.0653,0.335,0.723,108.965,191938
Nicky Youre,Eyes On You,0.786,0.729,-4.357,0.117,0.0389,0.265,0.729,131.906,177372
DJ Khaled,BEAUTIFUL (feat. Future & SZA),0.55,0.489,-6.729,0.103,0.233,0.118,0.241,171.882,223233
Alok,Deep Down (feat. Never Dull),0.818,0.687,-4.221,0.0112,0.0778,0.248,0.886,125.952,165753
