artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Daniel Phillips,American Gothic,0.708,0.574,-9.992,0.151,0.0247,0.137,0.944,89.995,237.82,0
The Kitchen,Where Can I Find Love,0.407,0.421,-13.793,0.519,0.0389,0.158,0.192,114.418,291.46,0
Alessi's Ark,The Bird Song,0.338,0.554,-11.687,0.284,0.0352,0.295,0.422,105.065,145.33,0
David Otero,Como Me Ves Me Voy,0.704,0.648,-6.153,0.0761,0.0271,0.131,0.423,106.952,198.59,0
Living Water,Miracle in Me,0.306,0.495,-7.898,0.0535,0.0354,0.115,0.263,139.881,297.44,0
Glockboybaba,Stain Gang,0.834,0.577,-5.491,0.000135,0.092,0.456,0.498,125.031,148.04,0
Megan Hilty,River,0.0556,0.394,-19.896,0.933,0.0482,0.303,0.15,147.109,217.0,0
Leon Chavis,Unbreakable (Live),0.436,0.641,-8.336,0.0804,0.0854,0.227,0.503,78.779,141.75,0
Mariachi Vargas De Tecalitlán,Motivos,0.508,0.33,-6.027,0.794,0.0291,0.237,0.292,96.148,190.77,0
Locos Por Juana,La Española,0.923,0.689,-6.251,0.0895,0.0487,0.103,0.87,91.993,238.95,0
Tommy Dorsey,How are Things in Glocca Morra ? - Remastered 1993,0.0855,0.266,-14.174,0.993,0.0332,0.18,0.273,80.022,175.67,0
Paris Street,The Lighter Trick,0.498,0.643,-12.167,0.906,0.0402,0.197,0.744,146.141,130.25,0
Saturnalias,Ibuprofen,0.927,0.624,-3.078,0.0674,0.0445,0.502,0.259,122.019,238.25,0
Lonely Drifter Karen,This World Is Crazy,0.356,0.544,-9.455,0.734,0.0584,0.269,0.356,107.246,214.64,0
Tim Soucy,True Blues,0.61,0.502,-7.396,0.117,0.0515,0.395,0.213,137.968,221.81,0
Michael Hayes,Spear of Neptune (110 BPM),0.864,0.737,-8.911,0.667,0.0477,0.0852,0.573,110.001,165.27,0
Ozomatli,City Of Angels,0.972,0.697,-3.653,0.00927,0.242,0.0552,0.542,98.021,196.13,0
Tha Joker,Gym,0.7,0.633,-5.227,0.00573,0.12,0.0998,0.255,145.083,226.87,0
BLIX10,It Hurts,0.585,0.486,-9.583,0.00998,0.0255,0.0711,0.442,145.135,298.14,0
Trae Tha Truth,Dirty Southside - S.L.A.B.ed,0.765,0.705,-5.473,0.0122,0.191,0.122,0.695,160.768,371.6,0
J.J. Caillier and the Zydeco Knockouts,Neon Moon,0.407,0.726,-11.669,0.561,0.0281,0.129,0.898,108.523,261.21,0
D' Nairo,Road Wins,0.652,0.885,-8.266,0.255,0.175,0.146,0.462,139.97,182.03,0
Vinyl Green,Staring into the Sun,0.284,0.667,-16.586,0.342,0.0328,0.0893,0.193,144.084,194.58,0
Johnny Rodriguez & Johnny Bush,A Soft Place To Fall,0.455,0.528,-6.979,0.879,0.0248,0.215,0.61,96.987,205.35,0
Manic Vertex,Cold Skull,0.728,0.382,-7.008,0.00916,0.0448,0.0626,0.431,90.031,188.71,0
Brushville,17 You and Me,0.639,0.446,-5.281,0.133,0.0513,0.228,0.752,185.67,184.96,0
David Waxman,Can You Understand English? - Extended Mix,0.915,0.726,-7.759,0.00399,0.0916,0.0858,0.381,130.036,102.63,0
Acoustic Syndicate,November,0.77,0.554,-6.943,0.233,0.0444,0.18,0.622,129.114,262.13,0
Jr. Melancon and The Come Down Playboys,She Didn't Know I Was Married,0.66,0.651,-9.571,0.00964,0.0364,0.13,0.961,118.511,181.52,0
Drew Cooper,Beat Up Broke Down,0.487,0.616,-8.641,0.321,0.0284,0.0907,0.523,73.987,258.51,0
Blackjesus Yoshua,Warrior Lahmu,0.478,0.677,-14.429,0.000186,0.0555,0.12,0.557,89.996,192.24,0
The Czechaholics,Black Gypsy Waltz,0.4,0.41,-10.153,0.289,0.0262,0.162,0.818,157.486,225.72,0
The Weakend,Diagnosing a Haunted Child,0.937,0.49,-2.132,0.0473,0.0907,0.0566,0.777,180.267,177.35,0
Jaydakay,Day Dream,0.771,0.663,-9.04,0.128,0.509,0.0921,0.563,111.359,91.12,0
Sagi Rei,Wrap Me Up,0.612,0.712,-7.004,0.722,0.0287,0.417,0.735,120.039,224.61,0
Ocean Sounds,Distant Wave Swell,0.000234,0.134,-17.128,0.153,0.0681,0.432,1e-05,88.949,119.46,0
Nelo,Black Rain,0.655,0.643,-9.227,0.00139,0.0467,0.0957,0.165,138.023,216.03,0
Astral Doors,Worship or Die,0.978,0.48,-4.693,0.00169,0.0882,0.255,0.396,139.915,197.88,0
Renata Scotto,Otello: Act I: Quando narravi,0.216,0.231,-17.033,0.986,0.0401,0.381,0.0928,77.582,189.2,0
Ghetto Star,Look at Me Now,0.78,0.469,-5.737,0.119,0.348,0.123,0.429,83.894,151.93,0
Star Sky Streaming Music by Frank,Tea House,0.334,0.404,-14.915,0.994,0.132,0.0724,0.11,61.655,151.21,0
Robert Wynia,What I Leave Behind,0.478,0.459,-11.907,0.675,0.0364,0.937,0.225,140.256,178.77,0
Dead & Company,"Drums - Live at Coast Credit Union Music Park at Walnut Creek, Raleigh, NC 6/9/18",0.44,0.371,-17.521,0.465,0.0401,0.154,0.122,108.069,495.75,0
Cibelle,Bye Bye,0.125,0.27,-27.982,0.871,0.0493,0.135,0.163,95.531,164.27,0
Mary Black,Ellis Island,0.315,0.615,-15.417,0.457,0.0255,0.144,0.183,97.574,326.23,0
Michael Schenker,On And On,0.938,0.147,-4.942,0.0402,0.0986,0.708,0.074,142.123,337.25,0
Doctor Dubstep,Doctors Checkup,0.69,0.527,-10.539,0.00118,0.0321,0.226,0.617,102.014,182.79,0
Kabah,La Calle De Las Sirenas,0.974,0.706,-2.219,0.114,0.0339,0.0897,0.817,104.579,237.73,0
Kape-Hel,Times Like This,0.549,0.738,-14.531,0.0652,0.379,0.657,0.385,92.241,90.18,0
VixEnt,Conscience (Armbreaker21 Remix),0.997,0.345,-0.774,0.129,0.556,0.217,0.0339,75.08,345.6,0
Frenzy,Hold Her Now,0.622,0.762,-7.525,0.596,0.0291,0.191,0.685,119.929,155.6,0
YMR NIG,Banger,0.922,0.548,-2.189,0.388,0.248,0.181,0.846,96.691,199.52,0
Dr. Dreamz,African Child,0.389,0.836,-9.246,0.00587,0.0711,0.109,0.698,150.028,145.34,0
Mercury Witch,First Crusade,0.542,0.702,-13.065,0.564,0.127,0.0636,0.718,170.014,135.53,0
The Pack a.d.,Hardtack Saloon #1,0.358,0.371,-22.106,0.989,0.0357,0.104,0.608,98.397,68.47,0
