artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
SZA,Nobody Gets Me,0.284,0.358,-8.285,0.805,0.0285,0.183,0.276,99.796,180.85
Caroline Polachek,Welcome To My Island,0.631,0.693,-6.105,0.0827,0.057,0.194,0.362,118.008,233.28
Polo G,My All,0.613,0.493,-6.636,0.0393,0.414,0.128,0.373,156.104,197.69
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,0.34,0.431,-9.384,0.794,0.0311,0.12,0.0529,119.877,285.05
SZA,Ghost in the Machine (feat. Phoebe Bridgers),0.433,0.624,-9.572,0.837,0.0467,0.113,0.589,124.979,218.59
A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],0.603,0.855,-5.488,0.0392,0.284,0.105,0.494,129.976,206.77
Paramore,The News,0.91,0.564,-6.853,0.00021,0.0953,0.378,0.736,157.942,187.7
Lucky Daye,Apply Pressure,0.644,0.658,-9.268,0.455,0.398,0.0955,0.37,89.779,194.07
Moneybagg Yo,Quickie,0.506,0.87,-9.415,0.0901,0.432,0.145,0.347,137.921,187.83
Dove Cameron,Girl Like Me,0.646,0.729,-7.953,0.0248,0.0686,0.168,0.54,125.007,148.8
Gorillaz,Skinny Ape,0.868,0.466,-3.442,0.017,0.136,0.129,0.578,179.928,281.26
Oxlade,KU LO SA (with Camila Cabello),0.641,0.585,-5.053,0.631,0.085,0.2,0.828,93.058,148.8
Lil Durk,Hanging With Wolves,0.636,0.823,-7.239,0.0168,0.0612,0.108,0.5,151.978,205.89
YG,Miss My Dawgs (with Lil Wayne),0.662,0.857,-9.096,0.0374,0.275,0.414,0.383,89.907,163.21
Maria Becerra,LA NENA DE ARGENTINA,0.58,0.531,-4.688,0.0984,0.188,0.101,0.887,169.865,151.99
SZA,Love Language,0.261,0.707,-10.139,0.853,0.0784,0.127,0.545,65.038,183.89
Sam Fender,Little Bull Of Blithe,0.168,0.593,-8.804,0.91,0.0307,0.108,0.226,96.694,130.4
Cuco,Pendant,0.477,0.515,-6.913,0.2,0.0268,0.106,0.277,134.929,235.83
Blxst,Keep Calling,0.461,0.796,-6.757,0.428,0.338,0.107,0.487,92.015,156.52
MOUNT WESTMORE,Have A Nice Day,0.73,0.623,-5.447,0.0149,0.252,0.405,0.377,82.948,303.39
Martin Garrix,Hero,0.696,0.534,-5.211,0.316,0.0694,0.248,0.251,168.149,160.71
UPSAHL,Kickflip,0.916,0.603,-5.542,0.00894,0.368,0.0515,0.72,187.084,162.47
Ashley Cooke,it's been a year,0.431,0.364,-7.959,0.665,0.0556,0.339,0.391,77.28,216.67
KIRBY,All My Love,0.353,0.414,-6.399,0.841,0.0726,0.118,0.382,177.262,208.54
Anuel AA,La Máquina,0.775,0.799,-5.869,0.0308,0.077,0.309,0.605,95.027,296.91
