artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,prediccion
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),0.62,0.715,-6.005,0.417,0.0484,0.0822,0.172,97.95,221.52,1
Lewis Capaldi,Pointless,0.59,0.325,-3.943,0.0686,0.0495,0.104,0.278,180.449,235.75,0
Arcángel,La Jumpa,0.234,0.887,-14.52,0.111,0.178,0.13,0.197,140.02,196.8,0
PinkPantheress,Boy's a liar,0.838,0.656,-8.407,0.25,0.041,0.207,0.74,132.981,131.25,0
A$AP Rocky,Shittin' Me,0.659,0.738,-2.398,0.0411,0.17,0.0681,0.488,148.007,144.73,1
Pheelz,Ballin,0.536,0.738,-4.702,0.427,0.103,0.222,0.618,96.876,154.65,1
Villano Antillano,Kaleidoscópica,0.634,0.84,-7.464,0.0424,0.12,0.293,0.504,95.02,154.63,0
100 gecs,Torture Me (feat. Skrillex),0.903,0.723,-3.653,0.114,0.0593,0.121,0.811,156.991,113.49,1
Latto,FTCU (feat. GloRilla & Gangsta Boo),0.633,0.894,-5.294,0.0369,0.298,0.178,0.578,145.11,145.66,1
Morgan Wallen,One Thing At A Time,0.913,0.614,-5.126,0.0042,0.0296,0.26,0.92,141.982,206.86,0
Jessie Murph,Drunk in the Bathtub,0.522,0.625,-10.037,0.619,0.0403,0.297,0.374,93.958,166.03,0
Nas,"One Mic, One Gun",0.916,0.756,-2.692,0.0351,0.207,0.241,0.458,149.961,169.69,0
$uicideboy$,"My Swisher Sweet, But My Sig Sauer",0.969,0.683,-3.29,0.000275,0.171,0.94,0.595,170.017,226.93,0
RM,Still Life (with Anderson .Paak),0.721,0.831,-5.447,0.277,0.164,0.0403,0.443,124.007,175.33,1
Quinn XCII,Let Me Down (with Chelsea Cutler),0.335,0.843,-5.666,0.213,0.0917,0.157,0.355,94.983,149.73,1
Noah Cyrus,Set For Life,0.431,0.574,-8.202,0.0385,0.0275,0.108,0.225,113.995,248.28,0
PNAU,You Know What I Need,0.896,0.768,-3.501,0.0152,0.0969,0.0412,0.829,109.959,170.0,0
Bad Gyal,Real G,0.828,0.662,-5.854,0.148,0.0821,0.423,0.451,113.039,191.69,1
Metallica,Lux Æterna,0.996,0.386,-2.96,1.15e-05,0.0754,0.116,0.188,130.573,205.68,0
NEIL FRANCES,High,0.66,0.795,-10.331,0.181,0.164,0.35,0.761,91.936,164.21,0
Stephen Dawes,It Could Be Me,0.548,0.576,-9.045,0.368,0.0334,0.313,0.877,179.04,127.46,0
Parker McCollum,Stoned,0.615,0.512,-6.625,0.028,0.0393,0.352,0.476,123.979,188.29,0
MOUNT WESTMORE,Activated,0.723,0.82,-5.031,0.0184,0.224,0.148,0.378,99.931,239.53,0
Coi Leray,Players,0.516,0.954,-5.817,0.03,0.16,0.0504,0.624,105.001,139.56,1
Joy Oladokun,Power - From the Al Sharpton Documentary LOUDMOUTH,0.563,0.533,-7.456,0.172,0.0445,0.0782,0.321,92.187,194.51,0
James Arthur,Heartbeat,0.435,0.438,-9.967,0.499,0.0442,0.118,0.433,137.247,231.72,0
Katie Gregson-MacLeod,white lies,0.315,0.436,-7.57,0.859,0.0356,0.143,0.209,123.997,147.85,0
brakence,5g,0.618,0.57,-6.692,0.238,0.252,0.262,0.71,138.485,209.71,0
Snakehips,Solitude (with BIA & Lucky Daye),0.833,0.693,-5.832,0.00186,0.0736,0.413,0.452,120.025,174.48,0
Cruza,Fantasy,0.443,0.48,-13.001,0.199,0.343,0.124,0.193,109.93,179.14,0
