artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Coldplay,Yellow,0.661,0.429,-7.227,0.00239,0.0281,0.234,0.285,173.372,266.77
Amaral,Cómo hablar,0.775,0.606,-4.752,0.0356,0.0291,0.111,0.626,117.357,241.27
Eminem,The Real Slim Shady,0.661,0.949,-4.244,0.0302,0.0572,0.0454,0.76,104.504,284.2
Britney Spears,Oops!...I Did It Again,0.834,0.751,-5.444,0.3,0.0437,0.355,0.894,95.053,211.16
La Oreja de Van Gogh,La Playa,0.552,0.589,-5.707,0.175,0.0268,0.106,0.311,88.535,247.69
Linkin Park,In the End,0.864,0.556,-5.87,0.00958,0.0584,0.209,0.4,105.143,216.88
Bon Jovi,It's My Life,0.913,0.551,-4.063,0.0263,0.0466,0.347,0.544,119.992,224.49
Niña Pastori,Cai (with Alejandro Sanz),0.48,0.583,-7.032,0.646,0.0468,0.16,0.345,144.219,269.16
Red Hot Chili Peppers,Otherside,0.795,0.458,-3.265,0.00316,0.0574,0.0756,0.513,123.229,255.37
OBK,El cielo no entiende,0.784,0.702,-8.484,0.144,0.0349,0.0953,0.488,127.998,229.76
Juanes,Es Por Ti,0.758,0.696,-6.076,0.17,0.0264,0.189,0.859,129.943,250.69
Juanes,A Dios Le Pido,0.841,0.673,-3.564,0.0683,0.0557,0.0965,0.94,97.027,205.37
Modjo,Lady - Hear Me Tonight,0.808,0.72,-5.627,0.00793,0.0379,0.0634,0.869,126.041,307.15
La Mosca Tse-Tse,Para No Verte Más,0.815,0.658,-6.834,0.0168,0.105,0.341,0.837,99.276,191.56
Destiny's Child,Say My Name,0.678,0.713,-3.525,0.273,0.102,0.149,0.734,138.009,271.33
Gigi D'Agostino,L'Amour Toujours,0.877,0.638,-4.449,0.0771,0.0302,0.364,0.743,139.052,242.05
Coldplay,Trouble,0.546,0.565,-7.496,0.189,0.0314,0.17,0.195,139.757,273.43
Limp Bizkit,Take A Look Around,0.852,0.425,-5.607,0.0175,0.046,0.0935,0.512,101.968,321.04
Backstreet Boys,Shape of My Heart,0.786,0.575,-4.353,0.252,0.0296,0.159,0.518,96.102,230.09
Enya,Only Time,0.249,0.418,-13.744,0.841,0.0301,0.112,0.213,82.803,218.55
