artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Måneskin,Beggin',0.8,0.714,-4.808,0.127,0.0504,0.359,0.589,134.002,211560
The Kid LAROI,STAY (with Justin Bieber),0.764,0.591,-5.484,0.0383,0.0483,0.103,0.478,169.928,141806
Olivia Rodrigo,good 4 u,0.664,0.563,-5.044,0.335,0.154,0.0849,0.688,166.928,178147
Ed Sheeran,Bad Habits,0.897,0.808,-3.712,0.0469,0.0348,0.364,0.591,126.026,231041
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.704,0.736,-7.409,0.0203,0.0615,0.0501,0.894,149.995,212000
Lil Nas X,MONTERO (Call Me By Your Name),0.508,0.61,-6.682,0.297,0.152,0.384,0.758,178.818,137876
Doja Cat,Kiss Me More (feat. SZA),0.701,0.762,-3.541,0.235,0.0286,0.123,0.742,110.968,208867
Rauw Alejandro,Todo De Ti,0.718,0.78,-3.605,0.31,0.0506,0.0932,0.342,127.949,199604
Bad Bunny,Yonaguni,0.648,0.644,-4.601,0.276,0.118,0.135,0.44,179.951,206710
Måneskin,I WANNA BE YOUR SLAVE,0.608,0.75,-4.008,0.00165,0.0387,0.178,0.958,132.507,173347
Dua Lipa,Levitating (feat. DaBaby),0.825,0.702,-3.787,0.00883,0.0601,0.0674,0.915,102.977,203064
"J Balvin, Maria Becerra",Qué Más Pues?,0.819,0.891,-3.964,0.0261,0.106,0.173,0.768,101.968,217773
BTS,Permission to Dance,0.741,0.702,-5.33,0.00544,0.0427,0.337,0.646,124.925,187585
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),0.696,0.677,-6.181,0.321,0.119,0.42,0.464,90.03,198082
BTS,Butter,0.459,0.759,-5.187,0.00323,0.0948,0.0906,0.695,109.997,164442
Olivia Rodrigo,traitor,0.339,0.38,-7.885,0.691,0.0338,0.12,0.0849,100.607,229227
Olivia Rodrigo,deja vu,0.612,0.442,-7.222,0.584,0.112,0.37,0.178,180.917,215507
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),0.825,0.65,-4.645,0.0215,0.0325,0.0936,0.593,118.091,191014
"Nio Garcia, J Balvin, Bad Bunny",AM Remix,0.655,0.743,-5.015,0.114,0.159,0.0764,0.785,172.031,261335
