artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Bollobas,Wisdom In the Sun,0.189,0.797,-18.984,0.0534,0.0442,0.0869,0.662,122.018,91.64,0
Justin Bell,Remembrance,0.029,0.187,-27.975,0.95,0.0434,0.116,0.0381,80.469,77.13,0
G.B.III,New Sheriff in Town,0.824,0.526,-5.504,0.29,0.301,0.0841,0.297,80.83,195.08,0
Chilly Chills,Woah (New Houdhini),0.634,0.704,-7.434,0.431,0.0837,0.147,0.129,142.938,173.92,0
Mase,Watch Your Back [Interlude],0.175,0.684,-23.831,0.976,0.928,0.523,0.581,139.029,56.83,0
Beth Wood,Funeral Day,0.546,0.585,-9.856,0.508,0.032,0.247,0.624,105.062,212.97,0
Juventud Y Sus Teclados,Chilena 1 (En Vivo),0.442,0.831,-14.111,0.574,0.133,0.257,0.97,117.098,233.08,0
Yoga Playlist,Sea Open,0.145,0.165,-23.588,0.994,0.0354,0.132,0.0337,83.841,28.83,0
Martin Chaparro,Aunque Te Pierdas,0.598,0.479,-9.21,0.305,0.0325,0.322,0.525,135.946,342.25,0
trenchbaby zayo,Broke,0.529,0.857,-8.455,0.0171,0.344,0.095,0.129,119.918,115.04,0
Bharlie,Professor Finesse,0.471,0.766,-14.407,0.53,0.418,0.0778,0.612,140.096,130.4,0
Dominic Lewis,Rallying Market,0.185,0.286,-19.968,0.813,0.039,0.0922,0.0386,126.983,144.53,0
John Van Ness,Fly Gently,0.506,0.54,-7.449,0.653,0.0315,0.18,0.423,72.945,145.64,0
En Vogue,Hold On,0.528,0.727,-8.771,0.077,0.0585,0.344,0.383,96.934,304.37,0
Nbf D1,The Real Way,0.718,0.289,-7.468,0.0413,0.234,0.242,0.621,50.172,187.95,0
Bonney B,Everywhere I Go,0.604,0.815,-9.572,0.0483,0.238,0.128,0.586,100.006,153.86,0
Called to Glory,His Praise,0.0172,0.17,-39.15,0.982,0.0434,0.107,0.0358,125.831,105.33,0
GC Classics,Mad Atcha,0.334,0.76,-8.367,0.000217,0.0728,0.187,0.711,99.991,206.45,0
Curved Light,Assembly,0.912,0.522,-4.441,0.00068,0.0495,0.136,0.25,149.754,216.65,0
Curved Light,Lifted,0.411,0.177,-9.852,0.442,0.0316,0.135,0.0736,105.956,203.75,0
Ghettoartiz,Ghetto Se Sientes,0.388,0.84,-12.601,0.204,0.0459,0.111,0.496,130.029,178.76,0
72tmac,Same,0.645,0.477,-9.406,0.21,0.347,0.215,0.835,84.72,158.67,0
Ocean Sounds,海洋声音让孩子入睡,0.952,0.204,-23.738,0.42,0.0546,0.389,1e-05,73.323,82.48,0
This Day Will Tell,Get Over Yourself,0.951,0.358,-3.764,0.00182,0.165,0.174,0.332,159.661,223.08,0
Blackjesus Yoshua,Azotar Grandes Latón (whipping big brass),0.261,0.652,-13.514,0.105,0.0501,0.293,0.582,184.006,187.83,0
The Sweetsers,Bethel,0.0574,0.4,-24.85,0.948,0.0458,0.0898,0.223,95.989,180.38,0
Blackjesus Yoshua,La Terrible Verdad (the awful truth),0.389,0.737,-13.69,0.0165,0.0727,0.176,0.383,89.975,192.01,0
Korey Mickie,We Declare Victory,0.881,0.363,-3.781,0.0169,0.464,0.409,0.431,78.919,669.31,0
