,track_name,artist_name,album,reproductions_in_millions,year,info
71,Mood,"24kGoldn, Iann Dior",El Dorado,1.558,2020,"24kGoldn, Iann Dior-Mood-2020"
96,Youngblood,5 Seconds of Summer,Youngblood,1.446,2018,5 Seconds of Summer-Youngblood-2018
56,Faded,Alan Walker,Different World,1.637,2015,Alan Walker-Faded-2015
85,Do I Wanna Know?,Arctic Monkeys,AM,1.451,2013,Arctic Monkeys-Do I Wanna Know?-2013
32,7 Rings,Ariana Grande,"Thank U, Next",1.824,2019,Ariana Grande-7 Rings-2019
66,"Thank U, Next",Ariana Grande,"Thank U, Next",1.585,2018,"Ariana Grande-Thank U, Next-2018"
44,Wake Me Up,"Avicii, Aloe Blacc",True,1.707,2013,"Avicii, Aloe Blacc-Wake Me Up-2013"
81,Dynamite,BTS,Be,1.51,2020,BTS-Dynamite-2020
80,Dakiti,"Bad Bunny, Jhay Cortez",El último tour del mundo,1.533,2020,"Bad Bunny, Jhay Cortez-Dakiti-2020"
22,Lovely,"Billie Eilish, Khalid",Sencillo sin álbum,1.978,2018,"Billie Eilish, Khalid-Lovely-2018"
12,Bad Guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2.196,2019,Billie Eilish-Bad Guy-2019
82,That's What I Like,Bruno Mars,24K Magic,1.501,2016,Bruno Mars-That's What I Like-2016
61,One Kiss,"Calvin Harris, Dua Lipa",Dua Lipa,1.613,2018,"Calvin Harris, Dua Lipa-One Kiss-2018"
35,Havana,"Camila Cabello, Young Thug",Camila,1.813,2017,"Camila Cabello, Young Thug-Havana-2017"
50,Let Me Love You,"Dj Snake, Justin Bieber",Encore,1.665,2016,"Dj Snake, Justin Bieber-Let Me Love You-2016"
5,One Dance,"Drake, Wizkid y Kyla",Views,2.442,2016,"Drake, Wizkid y Kyla-One Dance-2016"
18,God's Plan,Drake,Scorpion,2.039,2018,Drake-God's Plan-2018
79,Levitating,"Dua Lipa, DaBaby",Future Nostalgia,1.539,2020,"Dua Lipa, DaBaby-Levitating-2020"
17,Don't Start Now,Dua Lipa,Future Nostalgia,2.047,2019,Dua Lipa-Don't Start Now-2019
39,New Rules,Dua Lipa,Dua Lipa,1.761,2017,Dua Lipa-New Rules-2017
59,I Don't Care,"Ed Sheeran,Justin Bieber",No.6 Collaborations Project,1.61,2019,"Ed Sheeran,Justin Bieber-I Don't Care-2019"
10,Perfect,Ed Sheeran,÷,2.202,2017,Ed Sheeran-Perfect-2017
20,Photograph,Ed Sheeran,×,1.988,2014,Ed Sheeran-Photograph-2014
0,Shape of You,Ed Sheeran,÷,3.272,2017,Ed Sheeran-Shape of You-2017
14,Thinking Out Loud,Ed Sheeran,×,2.094,2014,Ed Sheeran-Thinking Out Loud-2014
94,'Till I Collapse,"Eminem, Nate Dogg",The Eminem Show,1.461,2002,"Eminem, Nate Dogg-'Till I Collapse-2002"
76,Lose Yourself,Eminem,Music from and Inspired by the Motion Picture 8 Mile,1.542,2002,Eminem-Lose Yourself-2002
74,Unforgettable,"French Montana, Swae Lee",Jungle Rules,1.549,2017,"French Montana, Swae Lee-Unforgettable-2017"
16,Heat Waves,Glass Animals,Dreamland + Bonus Levels,2.071,2020,Glass Animals-Heat Waves-2020
64,Without Me,Halsey,Manic,1.602,2018,Halsey-Without Me-2018
89,As It Was,"Harry Styles,",Harry's House,1.468,2022,"Harry Styles,-As It Was-2022"
21,Watermelon Sugar,Harry Styles,Fine Line,1.982,2019,Harry Styles-Watermelon Sugar-2019
30,Take Me to Church,Hozier,Hozier,1.864,2013,Hozier-Take Me to Church-2013
9,Believer,Imagine Dragons,Evolve,2.258,2017,Imagine Dragons-Believer-2017
72,Demons,Imagine Dragons,Night Visions,1.551,2012,Imagine Dragons-Demons-2012
31,Thunder,Imagine Dragons,Evolve,1.831,2017,Imagine Dragons-Thunder-2017
13,Say You Won't Let Go,James Arthur,Back from the Edge,2.142,2016,James Arthur-Say You Won't Let Go-2016
95,I'm Yours,Jason Mraz,I'm Yours,1.457,2008,Jason Mraz-I'm Yours-2008
29,All of Me,John Legend,Love in the Future,1.873,2013,John Legend-All of Me-2013
15,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2.072,2018,Juice WRLD-Lucid Dreams-2018
27,Love Yourself,Justin Bieber,Purpose,1.906,2015,Justin Bieber-Love Yourself-2015
46,Sorry,Justin Bieber,Purpose,1.691,2015,Justin Bieber-Sorry-2015
98,Can't Stop the Feeling!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,1.439,2016,Justin Timberlake-Can't Stop the Feeling!-2016
42,Humble,Kendrick Lamar,Damn,1.723,2017,Kendrick Lamar-Humble-2017
25,Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born,1.923,2018,"Lady Gaga, Bradley Cooper-Shallow-2018"
90,I Like Me Better,Lauv,I Met You When I Was 18 (The Playlist),1.468,2017,Lauv-I Like Me Better-2017
4,Someone You Loved,Lewis Capaldi,Breach y Divinely Uninspired to a Hellish Extent,2.52,2018,Lewis Capaldi-Someone You Loved-2018
73,Industry Baby,Lil Nas X y Jack Harlow,Montero (álbum),1.55,2021,Lil Nas X y Jack Harlow-Industry Baby-2021
75,Montero (Call Me by Your Name),Lil Nas X,MONTERO,1.545,2021,Lil Nas X-Montero (Call Me by Your Name)-2021
36,XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,1.774,2017,Lil Uzi Vert-XO Tour Llif3-2017
69,Despacito (Remix),"Luis Fonsi, Daddy Yankee, Justin Bieber",Vida,1.573,2017,"Luis Fonsi, Daddy Yankee, Justin Bieber-Despacito (Remix)-2017"
92,Despacito,"Luis Fonsi, Daddy Yankee",Vida,1.464,2017,"Luis Fonsi, Daddy Yankee-Despacito-2017"
91,7 Years,Lukas Graham,Lukas Graham,1.466,2015,Lukas Graham-7 Years-2015
55,Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton",The Heist,1.649,2011,"Macklemore & Ryan Lewis, Ray Dalton-Can't Hold Us-2011"
48,Lean On,"Major Lazer, DJ Snake, MØ",Peace Is the Mission y Major Lazer Essentials,1.675,2015,"Major Lazer, DJ Snake, MØ-Lean On-2015"
65,Uptown Funk,"Mark Ronson, Bruno Mars",Uptown Special,1.6,2014,"Mark Ronson, Bruno Mars-Uptown Funk-2014"
86,Girls Like You,"Maroon 5, Cardi B",Red Pill Blues,1.474,2018,"Maroon 5, Cardi B-Girls Like You-2018"
67,Memories,Maroon 5,Jordi (Deluxe),1.577,2019,Maroon 5-Memories-2019
97,Sugar,Maroon 5,V,1.446,2014,Maroon 5-Sugar-2014
40,Happier,"Marshmello, Bastille",Sencillo sin álbum,1.746,2018,"Marshmello, Bastille-Happier-2018"
63,I Took a Pill in Ibiza (Seeb Remix),"Mike Posner, Seeb","At Night, Alone",1.608,2015,"Mike Posner, Seeb-I Took a Pill in Ibiza (Seeb Remix)-2015"
83,Wonderwall,Oasis,(What's the Story) Morning Glory?,1.501,1995,Oasis-Wonderwall-1995
60,Drivers License,Olivia Rodrigo,SOUR,1.614,2021,Olivia Rodrigo-Drivers License-2021
53,Good 4 u,Olivia Rodrigo,SOUR,1.643,2021,Olivia Rodrigo-Good 4 u-2021
45,Counting Stars,OneRepublic,Native,1.71,2013,OneRepublic-Counting Stars-2013
43,Let Her Go,Passenger,All the Little Lights,1.715,2012,Passenger-Let Her Go-2012
3,Rockstar,"Post Malone, 21 Savage",Beerbongs & Bentleys,2.529,2017,"Post Malone, 21 Savage-Rockstar-2017"
54,Congratulations,"Post Malone, Quavo",Stoney,1.638,2016,"Post Malone, Quavo-Congratulations-2016"
7,Sunflower,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse y Hollywood's Bleeding,2.458,2018,"Post Malone, Swae Lee-Sunflower-2018"
52,Better Now,Post Malone,Beerbongs & Bentleys,1.653,2018,Post Malone-Better Now-2018
28,Circles,Post Malone,Hollywood's Bleeding,1.879,2019,Post Malone-Circles-2019
23,Bohemian Rhapsody,Queen,A Night at the Opera,1.955,1975,Queen-Bohemian Rhapsody-1975
77,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,1.541,2019,Roddy Ricch-The Box-2019
49,Roses - Imanbek Remix,"SAINt JHN, Imanbek",While the World Was Burning,1.664,2019,"SAINt JHN, Imanbek-Roses - Imanbek Remix-2019"
62,Stay with Me,Sam Smith,In the Lonely Hour,1.612,2014,Sam Smith-Stay with Me-2014
68,Too Good at Goodbyes,Sam Smith,The Thrill of it All,1.573,2017,Sam Smith-Too Good at Goodbyes-2017
8,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes y Romance,2.258,2019,"Shawn Mendes, Camila Cabello-Señorita-2019"
87,Stitches,Shawn Mendes,Handwritten,1.473,2015,Shawn Mendes-Stitches-2015
93,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,1.464,2017,Shawn Mendes-There's Nothing Holdin' Me Back-2017
57,Treat You Better,Shawn Mendes,Illuminate,1.627,2016,Shawn Mendes-Treat You Better-2016
84,Cheap Thrills,Sia,This Is Acting,1.496,2016,Sia-Cheap Thrills-2016
24,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,1.947,2017,"The Chainsmokers, Coldplay-Something Just Like This-2017"
58,Don't Let Me Down,"The Chainsmokers, Daya",Collage,1.613,2016,"The Chainsmokers, Daya-Don't Let Me Down-2016"
6,Closer,"The Chainsmokers, Halsey",Collage,2.389,2016,"The Chainsmokers, Halsey-Closer-2016"
11,Stay,"The Kid Laroi, Justin Bieber",F*ck Love 3: Over You,2.18,2021,"The Kid Laroi, Justin Bieber-Stay-2021"
70,Mr. Brightside,The Killers,Hot Fuss,1.564,2004,The Killers-Mr. Brightside-2004
38,Sweater Weather,The Neighbourhood,I Love You,1.765,2012,The Neighbourhood-Sweater Weather-2012
19,Starboy,"The Weeknd, Daft Punk",Starboy,2.015,2016,"The Weeknd, Daft Punk-Starboy-2016"
1,Blinding Lights,The Weeknd,After Hours,3.22,2019,The Weeknd-Blinding Lights-2019
51,The Hills,The Weeknd,Beauty Behind the Madness,1.658,2015,The Weeknd-The Hills-2015
2,Dance Monkey,Tones and I,The Kids Are Coming y Welcome to the Madhouse,2.682,2019,Tones and I-Dance Monkey-2019
33,Goosebumps,Travis Scott,Birds in the Trap Sing McKnight,1.823,2016,Travis Scott-Goosebumps-2016
41,Sicko Mode,Travis Scott,Astroworld,1.727,2018,Travis Scott-Sicko Mode-2018
99,Heathens,Twenty One Pilots,Suicide Squad: The Album,1.432,2016,Twenty One Pilots-Heathens-2016
37,Stressed Out,Twenty One Pilots,Blurryface,1.766,2015,Twenty One Pilots-Stressed Out-2015
47,Riptide,Vance Joy,Dream Your Life Away,1.676,2013,Vance Joy-Riptide-2013
88,See You Again,"Wiz Khalifa, Charlie Puth",Furious 7: Original Motion Picture Soundtrack,1.469,2015,"Wiz Khalifa, Charlie Puth-See You Again-2015"
34,Jocelyn Flores,XXXTentacion,17,1.822,2017,XXXTentacion-Jocelyn Flores-2017
78,Moonlight,XXXTentacion,?,1.54,2018,XXXTentacion-Moonlight-2018
26,Sad!,XXXTentacion,?,1.914,2018,XXXTentacion-Sad!-2018
