artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Quevedo,Playa Del Inglés,0.736,0.793,-3.254,0.0822,0.0469,0.109,0.656,112.993,237.52
Nil Moliner,Nada Que Decir,0.74,0.518,-5.389,0.176,0.362,0.115,0.538,157.944,213.85
ROSALÍA,DESPECHÁ RMX,0.582,0.954,-5.744,0.235,0.0727,0.0572,0.884,130.008,170.83
Kaydy Cain,Recuerdas?,0.717,0.807,-4.819,0.0974,0.0922,0.277,0.632,89.989,237.82
Alizzz,Todo está bien,0.487,0.381,-3.954,0.0275,0.0334,0.116,0.275,160.138,376.12
Vgomez,Intocable - Remix,0.663,0.752,-6.781,0.251,0.217,0.19,0.616,110.151,169.64
Judeline,ZAHARA,0.449,0.679,-5.303,0.551,0.322,0.0891,0.25,90.118,160.67
Juan Magán,ODA,0.734,0.741,-7.485,0.123,0.0425,0.04,0.714,128.023,181.88
Camin,PROGRESO,0.57,0.672,-8.322,0.386,0.108,0.117,0.358,97.875,202.04
Cris Mj,Marisola - Remix,0.872,0.765,-5.863,0.173,0.0498,0.0749,0.722,94.999,237.47
SOG,La Garrafa,0.818,0.755,-6.608,0.106,0.0602,0.0696,0.962,174.055,100.72
Jowell & Randy,Si Te Pillo,0.781,0.687,-4.657,0.166,0.0944,0.255,0.655,180.1,219.72
Antonio José,El Plan,0.554,0.541,-5.865,0.464,0.309,0.313,0.324,77.845,198.52
Radu,En la Mira,0.476,0.718,-9.658,0.176,0.0836,0.145,0.305,134.926,157.38
GARABATTO,Ya No Es lo Mismo,0.643,0.582,-7.029,0.064,0.0854,0.182,0.242,120.088,179.0
Babi,Corales,0.305,0.579,-16.034,0.913,0.0531,0.138,0.186,79.89,231.0
Llane,Parcerita,0.733,0.807,-5.688,0.576,0.366,0.0948,0.664,91.908,105.02
Alvaro Diaz,SUPRA 94TRO,0.795,0.809,-4.827,0.388,0.0871,0.0848,0.645,95.972,176.68
Ayax y Prok,Bandío,0.592,0.899,-5.86,0.15,0.221,0.167,0.501,100.041,145.2
Central Cee,LET GO,0.449,0.735,-9.933,0.859,0.383,0.213,0.514,146.016,175.89
Simon Franglen,Nothing Is Lost (You Give Me Strength),0.693,0.52,-7.704,0.0002,0.0331,0.122,0.12,126.985,267.5
El Arrebato,La Historia De Un Viaje,0.48,0.63,-7.492,0.564,0.0996,0.0983,0.918,98.011,223.5
Ivan Ferreiro,En el alambre,0.587,0.438,-9.11,0.145,0.0455,0.0736,0.0904,159.902,287.47
Rayden,Multiverso,0.908,0.562,-3.872,0.0243,0.131,0.0891,0.604,144.005,181.34
Fran Perea,La Chica de la Habitación de al Lado,0.931,0.532,-2.265,0.0539,0.0788,0.173,0.801,159.703,158.49
Conchita,"No Soy Yo, Eres Tú",0.759,0.752,-3.697,0.381,0.0377,0.109,0.571,131.968,239.83
Marea,Nuestra fosa,0.77,0.555,-5.085,0.132,0.0288,0.197,0.376,104.049,273.87
Muerdo,Aguacero (feat. El Caribefunk),0.744,0.634,-6.522,0.115,0.0487,0.127,0.665,170.043,205.68
Nolasco,Yo vendo jumo,0.726,0.704,-6.573,0.352,0.0522,0.136,0.859,150.037,237.54
Juanfran,Los Hombres También Lloran,0.563,0.791,-5.838,0.321,0.0876,0.0665,0.607,89.968,196.08
De Rancho,Frases de Taza,0.439,0.626,-10.304,0.445,0.03,0.0962,0.665,90.01,178.67
Pignoise,MOTOR,0.914,0.475,-3.497,0.000534,0.0509,0.4,0.596,94.985,165.99
María Artés,Te echo de menos,0.594,0.751,-4.236,0.507,0.127,0.0951,0.588,139.912,200.81
Alberto Toral,Lloraba,0.617,0.904,-4.06,0.013,0.0727,0.054,0.558,101.997,176.47
León Bravo,Sigo Pensándote,0.77,0.762,-5.265,0.58,0.113,0.176,0.797,150.871,208.21
Samuraï,Adrenalina,0.838,0.557,-5.722,0.0568,0.0438,0.0547,0.493,174.084,192.43
María Escarmiento,ME MIRABAS,0.623,0.879,-5.864,0.24,0.0448,0.102,0.877,130.089,143.18
PinkPantheress,Take me home,0.66,0.573,-8.304,0.173,0.0609,0.111,0.461,172.072,200.65
Sofía Gabanna,Carajo,0.608,0.73,-7.664,0.426,0.0918,0.0835,0.89,157.974,284.05
Paris Boy,Una de Más,0.539,0.517,-7.102,0.56,0.242,0.118,0.318,197.17,148.63
Elio Toffana,VIRGENSITA,0.686,0.79,-6.254,0.178,0.167,0.0957,0.572,153.972,212.38
Albany,LIL BABY ALBANY,0.697,0.732,-6.701,0.409,0.0562,0.134,0.533,144.932,211.86
Ters,Por los 2 (feat. Vivi K),0.675,0.891,-7.805,0.329,0.0611,0.185,0.569,127.044,189.12
Auba Estela,Q quieres d mi,0.163,0.75,-21.24,0.784,0.0595,0.155,0.347,109.95,185.73
Zaira,La Canción,0.615,0.635,-6.064,0.108,0.111,0.159,0.556,99.634,198.0
Miguel Cabrera,Pasamos de nada,0.508,0.635,-7.56,0.462,0.033,0.101,0.384,140.202,199.93
Las Migas,La Desgana,0.795,0.746,-5.107,0.37,0.172,0.131,0.767,103.919,239.8
Luis Cortés,Pa' Qué Juegas Conmigo,0.755,0.709,-5.974,0.268,0.0344,0.0798,0.764,94.934,175.0
María Cortés,Sonríe,0.814,0.751,-5.065,0.509,0.18,0.0922,0.699,93.026,189.99
Kalita del Sur,La Vida Sigue,0.766,0.583,-5.609,0.471,0.107,0.27,0.77,191.884,207.23
Ciudad Jara,Trocito de Marte,0.76,0.629,-5.732,0.023,0.0359,0.226,0.348,140.024,206.03
Kokoshca,Curado de Espanto,0.936,0.448,-4.74,0.00138,0.0785,0.38,0.735,144.215,223.36
Måneskin,LA FINE,0.981,0.506,-2.228,0.00118,0.0922,0.129,0.572,112.447,200.59
Alex Wall,otra noche más,0.51,0.604,-7.306,0.687,0.0354,0.089,0.331,141.762,184.33
Yoly Saa,Todo por los aires,0.698,0.655,-5.967,0.00281,0.029,0.294,0.374,125.978,208.1
Chill Chicos,SUPERFUERTES,0.761,0.785,-7.402,0.00723,0.0586,0.092,0.644,145.021,178.76
Marina Reche,Dos extraños,0.557,0.675,-7.583,0.397,0.226,0.131,0.393,164.723,192.1
Ona Mafalda,A Otro Lado,0.197,0.661,-10.547,0.947,0.0351,0.116,0.252,111.994,175.71
