artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
ROSALÍA,LLYLM,0.634,0.555,-5.522,0.129,0.273,0.188,0.555,170.228,174.04
Rauw Alejandro,PANTIES Y BRASIERES,0.888,0.758,-2.851,0.34,0.0706,0.144,0.408,107.039,197.38
Marc Seguí,Plaza en el cielo,0.39,0.435,-6.818,0.0665,0.0449,0.245,0.333,123.032,206.62
Daviles de Novelda,Te Miro A La Cara,0.782,0.575,-5.158,0.216,0.0992,0.272,0.869,85.126,142.9
Morad,Cuzi Cuza,0.652,0.799,-8.405,0.594,0.0802,0.0991,0.609,129.995,167.86
La La Love You,El Principio de algo,0.854,0.621,-4.513,0.00832,0.0428,0.394,0.713,141.066,147.91
Paula Cendejas,cosquillas,0.783,0.787,-5.322,0.161,0.249,0.285,0.83,170.011,169.8
MARLENA,Un Verano Sin Ti,0.568,0.662,-5.7,0.0423,0.179,0.0875,0.22,135.152,183.32
Juan Magán,PEM,0.561,0.711,-6.828,0.00462,0.0374,0.228,0.763,127.962,158.67
Sam Smith,I’m Not Here To Make Friends (feat. Calvin Harris & Jessie Reyez),0.895,0.698,-4.439,0.172,0.0628,0.409,0.838,114.914,229.6
Fondo Flamenco,Vuelve,0.512,0.763,-9.329,0.922,0.0533,0.116,0.849,102.769,217.21
Maka,Te Comía,0.734,0.669,-5.811,0.0972,0.0636,0.241,0.588,169.985,175.39
Camin,Tranquilo,0.582,0.682,-5.945,0.697,0.2,0.0998,0.505,95.879,177.5
Christian Nodal,Por el Resto de Tu Vida,0.662,0.781,-3.825,0.355,0.0336,0.161,0.686,91.999,197.48
Keen Levy,Te Amo,0.748,0.765,-4.848,0.24,0.0377,0.184,0.552,129.993,276.0
YOVNGCHIMI,"Baby Father 2.0 (feat. Myke Towers, Arcángel, Ñengo Flow and Yeruza)",0.534,0.811,-7.196,0.319,0.208,0.0964,0.61,95.032,405.47
Nickzzy,Ahora No Lloro,0.651,0.637,-7.205,0.474,0.167,0.102,0.619,143.845,176.67
Munic HB,Show U,0.69,0.719,-4.988,0.29,0.0688,0.131,0.44,130.047,141.36
Aya Nakamura,T'as peur,0.565,0.755,-5.595,0.113,0.273,0.111,0.407,177.941,215.28
Las Villa,Bendita,0.765,0.675,-3.935,0.276,0.118,0.0727,0.596,103.902,199.14
Andrés Suárez,POR NO DECIR TU NOMBRE,0.706,0.766,-6.08,0.156,0.203,0.157,0.762,97.99,213.25
Baraka,Ya No Te Escribo,0.505,0.72,-10.411,0.0131,0.24,0.426,0.261,128.03,156.27
Danny Romero,Tanta Lucha,0.624,0.854,-5.14,0.078,0.106,0.104,0.579,91.006,141.1
Fabbio,EL SECRETO - Mambata,0.847,0.684,-3.385,0.484,0.0327,0.115,0.865,135.05,189.68
La Pantera,London Blue,0.673,0.761,-6.569,0.124,0.056,0.173,0.367,119.998,195.25
Maikel Delacalle,Tras De Ti,0.546,0.827,-5.232,0.346,0.233,0.0928,0.757,173.919,201.38
Kaydy Cain,Sirocco,0.61,0.746,-10.469,0.00979,0.222,0.133,0.154,159.959,185.31
Omar Varela,La Joaqui | Omar Algo Anda Mal #5,0.836,0.829,-3.044,0.431,0.118,0.252,0.507,129.815,162.0
Luz Casal,"Hola, Qué Tal",0.534,0.841,-8.964,0.574,0.411,0.104,0.616,82.994,190.58
Raul Camacho,Los Besos,0.751,0.55,-6.1,0.238,0.067,0.139,0.632,96.473,211.0
Miguel Campello,RUMBACUMBIA,0.835,0.713,-6.137,0.348,0.124,0.121,0.761,176.011,244.46
León Bravo,Dime,0.814,0.623,-5.721,0.227,0.0591,0.132,0.513,96.024,211.88
Raule,Sin Conexión,0.671,0.641,-6.171,0.0357,0.105,0.113,0.647,159.881,258.39
Fred De Palma,EXTASI,0.821,0.815,-3.885,0.0422,0.0446,0.0241,0.267,130.006,157.38
The Kid LAROI,Love Again,0.398,0.662,-6.691,0.716,0.0275,0.111,0.468,107.001,145.85
Ava Max,Ghost,0.931,0.715,-3.548,0.00573,0.0426,0.0549,0.615,119.971,181.65
P!nk,TRUSTFALL,0.888,0.636,-3.889,0.00162,0.0945,0.147,0.25,122.032,237.2
Tom Odell,Butterflies (feat. AURORA),0.157,0.326,-16.287,0.971,0.0415,0.191,0.3,178.711,130.67
Arde Bogotá,Los Perros,0.792,0.659,-4.404,0.00587,0.0362,0.0975,0.547,96.997,229.88
ELYELLA,Bailando mal,0.72,0.714,-5.178,0.00481,0.0341,0.277,0.614,123.958,204.19
dani,Nubes,0.493,0.795,-6.888,0.0675,0.0455,0.0876,0.669,123.962,215.13
Tigres Leones,A Banda,0.913,0.395,-4.559,0.003,0.0335,0.177,0.596,154.993,199.98
Auba Estela,París,0.284,0.759,-17.713,0.785,0.419,0.121,0.393,173.936,148.96
Ambi,Chocamos,0.935,0.585,-5.507,0.472,0.0522,0.119,0.85,160.04,133.08
Alex Wall,inocentes,0.706,0.527,-3.78,0.0733,0.114,0.107,0.367,167.993,208.93
Roi Méndez,La Función,0.473,0.428,-7.844,0.161,0.0453,0.322,0.385,110.888,185.06
Íñigo Merino,Seda,0.666,0.722,-6.481,0.0393,0.0318,0.0983,0.461,131.899,179.44
Els Amics De Les Arts,Citant Mercè Rodoreda,0.793,0.734,-7.87,0.133,0.0426,0.0626,0.757,102.021,237.83
Isaac Fortuna,Luna Llena,0.864,0.753,-3.245,0.146,0.0415,0.211,0.804,113.309,205.93
El Acal,¿Qué Tengo Que Hacer?,0.82,0.753,-4.865,0.176,0.171,0.429,0.44,119.931,200.0
Gonzalo Hermida,La Promesa,0.872,0.619,-3.133,0.166,0.0352,0.0496,0.335,115.902,230.69
K!ngdom,AT!KE (A ti qué te importa),0.86,0.726,-3.085,0.026,0.217,0.0876,0.766,123.908,180.0
La Plazuela,El Lao De La Pena,0.863,0.663,-4.236,0.0746,0.0454,0.0861,0.574,144.927,231.8
Gato Ventura,Ya Puede Caerse el Cielo,0.976,0.551,-4.284,0.0186,0.202,0.201,0.639,100.002,215.89
Corizonas,El Diablo gritó sí,0.921,0.437,-3.728,0.013,0.0521,0.358,0.905,210.021,165.72
Orslok,isaac,0.889,0.441,-4.005,0.168,0.0778,0.216,0.176,82.526,168.73
Moonkey,Ártica,0.758,0.641,-4.651,0.435,0.0765,0.116,0.406,159.879,204.0
Ant Cosmos,Mariana,0.643,0.842,-9.515,0.277,0.114,0.108,0.667,114.966,156.55
La Dani,Rockstar,0.846,0.615,-5.08,0.0166,0.0589,0.0746,0.218,147.946,207.57
alberto.vela,Para qué,0.587,0.513,-7.834,0.762,0.0302,0.101,0.511,168.066,194.36
