artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Simon Franglen,Nothing Is Lost (You Give Me Strength),0.693,0.52,-7.704,0.0002,0.0331,0.122,0.12,126.985,267.5
Juice WRLD,Face 2 Face,0.72,0.711,-4.532,0.0948,0.0308,0.101,0.437,155.997,124.56
ROSALÍA,DESPECHÁ RMX,0.582,0.954,-5.744,0.235,0.0727,0.0572,0.884,130.008,170.83
Only The Family,Mad Max,0.64,0.898,-8.796,0.0212,0.255,0.0919,0.68,149.988,153.6
Little Simz,Gorilla,0.813,0.716,-5.748,0.269,0.256,0.104,0.682,90.418,245.82
FLO,Losing You,0.508,0.503,-7.294,0.454,0.0605,0.0784,0.425,120.208,224.5
Jacquees,When You Bad Like That (feat. Future),0.469,0.617,-7.54,0.404,0.0543,0.19,0.481,131.554,190.19
Central Cee,LET GO,0.449,0.735,-9.933,0.859,0.383,0.213,0.514,146.016,175.89
A Boogie Wit da Hoodie,Needed That,0.548,0.489,-7.907,0.108,0.271,0.0865,0.68,146.33,206.3
PinkPantheress,Take me home,0.66,0.573,-8.304,0.173,0.0609,0.111,0.461,172.072,200.65
Quevedo,Playa Del Inglés,0.736,0.793,-3.254,0.0822,0.0469,0.109,0.656,112.993,237.52
$uicideboy$,I Dream of Chrome,0.934,0.84,-3.717,0.0484,0.119,0.0961,0.67,149.994,145.84
Latto,Another Nasty Song,0.476,0.853,-7.217,0.271,0.28,0.091,0.646,76.525,144.31
Diddy,Sex In The Porsche (and PARTYNEXTDOOR),0.553,0.698,-6.886,0.109,0.0458,0.314,0.0582,91.054,213.63
Masego,You Never Visit Me,0.526,0.755,-6.213,0.615,0.284,0.0872,0.536,80.221,230.91
ERNEST,Songs We Used To Sing,0.579,0.359,-5.752,0.434,0.0282,0.104,0.274,89.721,185.73
Barrie,Doesn't Really Matter,0.372,0.608,-8.021,0.65,0.0288,0.284,0.55,139.937,132.82
Måneskin,LA FINE,0.981,0.506,-2.228,0.00118,0.0922,0.129,0.572,112.447,200.59
Ab-Soul,FOMF,0.785,0.728,-6.253,0.107,0.205,0.0884,0.735,132.039,160.92
Saint Levant,I Guess,0.461,0.646,-10.347,0.219,0.167,0.108,0.499,69.815,158.0
Whitney Houston,Don't Cry For Me,0.698,0.607,-5.511,0.00767,0.0362,0.295,0.219,123.942,199.52
SAINt JHN,Stadiums,0.775,0.734,-3.257,0.0243,0.179,0.128,0.321,156.052,172.42
24kGoldn,Checkers (feat. Bandmanrill),0.9,0.754,-3.379,0.0661,0.239,0.105,0.236,144.058,161.42
Gretel Hänlyn,Today (can't help but cry),0.915,0.395,-6.21,0.0094,0.0502,0.258,0.324,189.905,252.63
Andy Shauf,Catch Your Eye,0.254,0.636,-15.426,0.716,0.0363,0.128,0.33,77.98,162.56
Young Dolph,Old Ways,0.662,0.89,-7.928,0.152,0.3,0.0828,0.756,139.99,190.25
Tyga,Nasty,0.512,0.581,-8.126,0.148,0.285,0.111,0.685,104.196,207.69
Leon Thomas,Breaking Point,0.538,0.507,-7.454,0.4,0.0643,0.161,0.239,111.458,293.57
Mikey Ferrari,On The Day I Leave,0.371,0.336,-6.273,0.654,0.0391,0.38,0.38,70.468,200.98
Delaney Bailey,My Skin,0.109,0.297,-19.426,0.717,0.0452,0.116,0.275,164.528,170.83
Luke Grimes,No Horse To Ride,0.334,0.674,-7.726,0.143,0.0277,0.11,0.352,120.972,133.87
Riovaz,Tantrum (Pace Yourself),0.583,0.792,-9.126,0.0102,0.05,0.0888,0.684,142.233,123.8
Chief Keef,It Ain't My Fault,0.84,0.694,-3.468,0.0188,0.242,0.339,0.374,139.91,195.09
The Alchemist,Clip In A Tray (feat. ScHoolboy Q),0.4,0.694,-10.144,0.0384,0.0694,0.223,0.0393,116.928,183.01
Stefflon Don,Daily Duppy (Dem Dead),0.495,0.703,-4.023,0.153,0.431,0.0903,0.96,134.024,179.91
Topic,All Or Nothing,0.783,0.598,-3.908,0.173,0.0392,0.0696,0.396,126.018,147.97
Clinton Kane,AVO TOAST,0.841,0.628,-3.673,0.0812,0.0687,0.0882,0.861,90.031,161.46
Tom Grennan,You Are Not Alone,0.252,0.514,-6.251,0.874,0.0279,0.117,0.196,78.029,165.84
Michal Leah,Used To It,0.237,0.505,-9.44,0.91,0.0422,0.0994,0.246,116.696,162.87
Flo Rida,No Bad Days (featuring Jimmie Allen),0.556,0.68,-7.258,0.151,0.054,0.0776,0.606,81.984,145.5
Russ,Home,0.43,0.509,-8.732,0.285,0.288,0.0616,0.382,160.018,159.0
Alvaro Diaz,SUPRA 94TRO,0.795,0.809,-4.827,0.388,0.0871,0.0848,0.645,95.972,176.68
Popcaan,Set It,0.822,0.657,-3.964,0.194,0.487,0.089,0.836,137.292,154.58
Mike Dimes,FLEEK,0.732,0.667,-4.704,0.0177,0.209,0.327,0.6,112.997,150.91
Iggy Pop,Strung Out Johnny,0.884,0.521,-5.354,0.000156,0.0387,0.0837,0.465,124.051,253.89
Dawes,The Interest Of Time,0.289,0.503,-14.37,0.902,0.0614,0.0685,0.18,149.198,395.51
Ross Copperman,Live On,0.403,0.47,-8.283,0.524,0.0356,0.0657,0.405,162.371,150.88
Ali Gatie,Walk Out That Door,0.534,0.637,-7.303,0.567,0.0532,0.178,0.22,162.107,167.26
August Alsina,Lied To You,0.61,0.767,-8.15,0.171,0.275,0.138,0.826,89.939,180.54
IYAMAH,Your Word,0.467,0.757,-7.875,0.201,0.0949,0.107,0.576,79.991,285.0
Junior Varsity,Florida,0.276,0.511,-13.755,0.935,0.0523,0.134,0.582,89.425,147.67
Kate Peytavin,ever fallen?,0.525,0.338,-7.388,0.178,0.0565,0.129,0.129,199.935,168.72
A1 x J1,Man On A Mission (feat. SL),0.406,0.796,-9.816,0.463,0.077,0.151,0.869,135.944,112.94
XXXTENTACION,WitDemDicks!,0.828,0.746,-3.812,0.0128,0.0697,0.14,0.184,135.093,72.86
NoCap,Ain’t Right,0.375,0.8,-6.834,0.02,0.129,0.121,0.0561,139.985,126.93
Rich The Kid,No More Friends,0.842,0.645,-3.023,0.00816,0.0983,0.396,0.237,150.039,121.6
MEDUZA,Sparks,0.891,0.574,-5.613,0.00836,0.0392,0.0454,0.253,123.959,170.32
Leah Kate,My Bed,0.768,0.663,-5.133,0.0887,0.0322,0.232,0.715,127.978,164.13
Rosse,I Don't Cry (I Dance),0.929,0.718,-3.735,0.0227,0.102,0.274,0.638,129.908,152.25
AViVA,DANGEROUS,0.294,0.86,-7.08,0.221,0.282,0.0781,0.361,140.025,212.05
