iter	RMSE
0	0.4920983778
1	0.4839090399
2	0.4765254188
3	0.4698702474
4	0.4634892
5	0.4578731541
6	0.4525701393
7	0.4478909177
8	0.4434617619
9	0.4391076003
10	0.4354092062
11	0.4318650881
12	0.4284515995
13	0.4255202836
14	0.4224602385
15	0.4196698955
16	0.4172509854
17	0.4150764929
18	0.4135316453
19	0.4114281579
20	0.4096479188
21	0.4081634753
22	0.4066006833
23	0.4049524582
24	0.4034380908
25	0.4019602062
26	0.4006115289
27	0.3994043036
28	0.3984962501
29	0.3973481039
30	0.396200453
31	0.3953040844
32	0.3943930627
33	0.3935549161
34	0.3926020295
35	0.3917981788
36	0.3909049763
37	0.390196583
38	0.3893820796
39	0.3887788807
40	0.3880602251
41	0.3873717121
42	0.3866436931
43	0.3859991474
44	0.385257124
45	0.3846643661
46	0.3841064165
47	0.383595642
48	0.3831057447
49	0.3826034846
50	0.3820760185
51	0.3815928268
52	0.3811358927
53	0.380795237
54	0.3804067925
55	0.3799179334
56	0.3795591611
57	0.3791082529
58	0.3785915827
59	0.3781364409
60	0.3777235467
61	0.3773048921
62	0.376914191
63	0.3765802125
64	0.3761970716
65	0.3758409022
66	0.3755204552
67	0.3752096806
68	0.3749106518
69	0.3745934915
70	0.3742984432
71	0.3740258203
72	0.3736809488
73	0.3733922249
74	0.3730154769
75	0.3725939576
76	0.3721505055
77	0.3718380354
78	0.3714888968
79	0.3712154868
80	0.3709710085
81	0.3705499067
82	0.370312917
83	0.3699953964
84	0.3696044083
85	0.3692459362
86	0.3690208003
87	0.3688241213
88	0.3686389738
89	0.36840705
90	0.368166837
91	0.3679179769
92	0.3676178323
93	0.3672985579
94	0.3670011313
95	0.3667811932
96	0.3665319238
97	0.3662728274
98	0.3659912123
99	0.3656868252
100	0.3652676092
101	0.3651344493
102	0.3648019437
103	0.3645591456
104	0.3643442734
105	0.3641205694
106	0.3639242756
107	0.3636814874
108	0.3633664834
109	0.3630477689
110	0.3627823444
111	0.362597155
112	0.3624235043
113	0.3620313084
114	0.3616962013
115	0.3615071066
116	0.3612893697
117	0.3611021767
118	0.3608799477
119	0.3605490717
120	0.3604042434
121	0.3602030602
122	0.3599833302
123	0.3598466086
124	0.3594060905
125	0.3591583997
126	0.358946361
127	0.3587453785
128	0.3585827282
129	0.358340942
130	0.3582012906
131	0.358027362
132	0.3578048703
133	0.3575742556
134	0.3574461911
135	0.3573134032
136	0.3570866713
137	0.3567820755
138	0.3565863826
139	0.3563420948
140	0.3560837235
141	0.3558791463
142	0.3556646503
