iter	Passed	Remaining
0	4	4581
1	8	4319
2	12	4283
3	17	4366
4	21	4286
5	25	4264
6	30	4266
7	34	4242
8	38	4218
9	42	4191
10	46	4182
11	50	4154
12	54	4169
13	62	4423
14	66	4374
15	71	4370
16	75	4350
17	79	4324
18	83	4301
19	87	4301
20	91	4285
21	95	4266
22	100	4252
23	104	4240
24	108	4228
25	112	4210
26	116	4190
27	120	4183
28	125	4191
29	129	4175
30	133	4166
31	137	4170
32	141	4157
33	146	4148
34	151	4186
35	159	4269
36	164	4287
37	170	4315
38	184	4542
39	190	4567
40	194	4552
41	198	4534
42	205	4578
43	212	4606
44	216	4584
45	220	4565
46	224	4544
47	228	4529
48	232	4514
49	237	4503
50	242	4518
51	249	4548
52	253	4532
53	256	4490
54	259	4452
55	262	4428
56	265	4400
57	269	4370
58	272	4346
59	277	4344
60	282	4349
61	286	4334
62	289	4312
63	293	4285
64	296	4261
65	299	4232
66	302	4206
67	305	4181
68	308	4156
69	311	4131
70	313	4106
71	316	4082
72	319	4056
73	322	4032
74	325	4011
75	328	3989
76	331	3968
77	333	3945
78	336	3924
79	339	3904
80	342	3886
81	345	3866
82	348	3849
83	351	3830
84	354	3811
85	357	3795
86	360	3778
87	362	3759
88	365	3743
89	368	3725
90	372	3716
91	377	3723
92	381	3718
93	385	3712
94	389	3707
95	393	3703
96	397	3697
97	401	3692
98	405	3689
99	409	3685
100	419	3737
101	423	3732
102	426	3718
103	433	3731
104	436	3720
105	440	3712
106	445	3716
107	448	3702
108	451	3687
109	454	3673
110	457	3660
111	460	3648
112	463	3635
113	466	3622
114	468	3608
115	471	3595
116	474	3581
117	477	3572
118	480	3559
119	483	3547
120	486	3535
121	489	3522
122	492	3510
123	495	3498
124	498	3486
125	500	3474
126	503	3463
127	506	3452
128	509	3441
129	512	3429
130	515	3418
131	518	3407
132	520	3396
133	524	3386
134	526	3376
135	529	3365
136	531	3348
137	534	3338
138	537	3326
139	540	3317
140	542	3307
141	546	3299
142	549	3290
143	552	3281
144	555	3273
145	559	3271
146	563	3269
147	567	3266
148	571	3262
149	575	3259
150	579	3256
151	583	3255
152	587	3251
153	591	3249
154	595	3245
155	599	3242
156	603	3239
157	607	3236
158	611	3233
159	615	3230
160	619	3226
161	623	3223
162	627	3219
163	631	3216
164	635	3214
165	639	3212
166	643	3212
167	650	3223
168	656	3226
169	659	3218
170	662	3213
171	666	3207
172	669	3199
173	672	3190
174	677	3194
175	680	3185
176	683	3176
177	686	3168
178	689	3160
179	692	3152
180	695	3145
181	697	3136
182	700	3128
183	703	3120
184	706	3112
185	709	3104
186	712	3097
187	715	3089
188	718	3081
189	721	3073
190	724	3066
191	726	3059
192	729	3051
193	732	3043
194	735	3036
195	738	3028
196	741	3021
197	744	3013
198	747	3010
199	751	3007
200	755	3004
201	759	3002
202	764	3000
203	768	2997
204	772	2994
205	775	2990
206	780	2988
207	784	2985
208	787	2982
209	791	2978
210	795	2975
211	799	2973
212	806	2980
213	811	2979
214	814	2973
215	818	2970
216	821	2965
217	825	2962
218	828	2954
219	831	2948
220	834	2942
221	837	2935
222	840	2928
223	843	2922
224	846	2916
225	849	2909
226	852	2902
227	855	2896
228	858	2889
229	861	2882
230	863	2875
231	867	2871
232	871	2870
233	874	2864
234	878	2858
235	881	2852
236	883	2845
237	886	2838
238	889	2832
239	892	2825
240	895	2819
241	898	2813
242	900	2806
243	903	2800
244	906	2793
245	909	2787
246	912	2781
247	915	2775
248	918	2768
249	921	2763
250	924	2757
251	926	2751
252	929	2745
253	933	2742
254	938	2740
255	941	2737
256	946	2735
257	950	2732
258	954	2729
259	958	2727
260	962	2724
261	970	2733
262	973	2727
263	976	2721
264	979	2715
265	982	2711
266	985	2706
267	989	2703
268	992	2697
269	995	2691
270	998	2686
271	1001	2681
272	1004	2674
273	1007	2668
274	1009	2662
275	1012	2657
276	1015	2651
277	1018	2646
278	1021	2640
279	1024	2634
280	1027	2629
281	1030	2623
282	1033	2617
283	1036	2612
284	1038	2606
285	1041	2601
286	1044	2596
287	1047	2590
288	1050	2585
289	1053	2579
290	1056	2574
291	1059	2569
292	1062	2564
293	1065	2558
294	1068	2553
295	1071	2548
296	1074	2543
297	1077	2537
298	1080	2532
299	1082	2526
300	1085	2521
301	1089	2518
302	1092	2513
303	1096	2510
304	1099	2504
305	1102	2499
306	1105	2494
307	1108	2489
308	1111	2484
309	1117	2486
310	1120	2483
311	1125	2481
312	1129	2478
313	1133	2476
314	1137	2473
315	1141	2470
316	1145	2468
317	1149	2465
318	1153	2462
319	1157	2460
320	1163	2460
321	1166	2457
322	1170	2452
323	1174	2450
324	1177	2445
325	1180	2441
326	1183	2436
327	1187	2432
328	1190	2427
329	1193	2422
330	1196	2418
331	1199	2412
332	1202	2407
333	1204	2402
334	1207	2397
335	1210	2392
336	1213	2387
337	1216	2382
338	1219	2377
339	1222	2373
340	1225	2368
341	1228	2363
342	1231	2358
343	1234	2353
344	1237	2348
345	1239	2343
346	1242	2338
347	1245	2333
348	1248	2328
349	1251	2324
350	1254	2318
351	1256	2314
352	1259	2309
353	1262	2304
354	1265	2299
355	1268	2294
356	1271	2289
357	1274	2285
358	1276	2280
359	1279	2275
360	1282	2270
361	1286	2266
362	1288	2261
363	1291	2257
364	1294	2252
365	1298	2248
366	1301	2243
367	1303	2239
368	1308	2238
369	1312	2235
370	1317	2232
371	1320	2230
372	1324	2226
373	1328	2223
374	1332	2220
375	1336	2217
376	1340	2215
377	1344	2213
378	1350	2212
379	1357	2214
380	1363	2214
381	1367	2212
382	1370	2207
383	1373	2202
384	1376	2198
385	1379	2194
386	1383	2190
387	1386	2187
388	1393	2188
389	1396	2184
390	1400	2181
391	1405	2179
392	1409	2177
393	1417	2180
394	1423	2180
395	1437	2191
396	1441	2189
397	1447	2189
398	1451	2187
399	1462	2193
400	1476	2205
401	1480	2203
402	1485	2200
403	1500	2213
404	1505	2211
405	1510	2210
406	1514	2207
407	1519	2204
408	1524	2203
409	1529	2200
410	1533	2197
411	1542	2201
412	1551	2205
413	1558	2206
414	1569	2212
415	1574	2209
416	1579	2208
417	1587	2210
418	1595	2212
419	1599	2208
420	1603	2204
421	1608	2202
422	1612	2199
423	1616	2195
424	1620	2191
425	1623	2188
426	1628	2185
427	1633	2183
428	1637	2179
429	1643	2179
430	1649	2177
431	1655	2177
432	1666	2182
433	1670	2178
434	1674	2174
435	1681	2174
436	1694	2183
437	1700	2181
438	1704	2178
439	1710	2177
440	1715	2174
441	1719	2171
442	1724	2168
443	1730	2166
444	1735	2164
445	1741	2162
446	1746	2160
447	1752	2159
448	1759	2159
449	1770	2163
450	1776	2162
451	1787	2167
452	1795	2167
453	1800	2164
454	1805	2162
455	1818	2169
456	1827	2171
457	1835	2172
458	1840	2169
459	1844	2164
460	1848	2161
461	1852	2157
462	1857	2153
463	1861	2150
464	1864	2145
465	1869	2142
466	1872	2137
467	1877	2134
468	1880	2129
469	1887	2128
470	1892	2125
471	1898	2123
472	1905	2122
473	1912	2122
474	1923	2125
475	1932	2126
476	1938	2125
477	1945	2124
478	1953	2124
479	1962	2126
480	1969	2125
481	1975	2122
482	1983	2123
483	1989	2121
484	1996	2120
485	2000	2115
486	2005	2112
487	2008	2107
488	2012	2102
489	2015	2098
490	2019	2093
491	2022	2088
492	2026	2084
493	2031	2080
494	2034	2075
495	2038	2071
496	2042	2066
497	2047	2064
498	2050	2058
499	2055	2055
500	2058	2050
501	2063	2047
502	2067	2042
503	2070	2037
504	2074	2033
505	2078	2029
506	2082	2025
507	2086	2020
508	2090	2016
509	2095	2012
510	2098	2008
511	2104	2005
512	2108	2001
513	2112	1997
514	2116	1993
515	2120	1989
516	2124	1985
517	2130	1982
518	2133	1977
519	2136	1972
520	2139	1967
521	2143	1962
522	2147	1958
523	2150	1953
524	2153	1948
525	2156	1942
526	2159	1937
527	2161	1932
528	2164	1927
529	2167	1922
530	2170	1916
531	2173	1911
532	2176	1906
533	2179	1901
534	2182	1896
535	2185	1891
536	2188	1886
537	2191	1881
538	2194	1876
539	2196	1871
540	2200	1866
541	2202	1861
542	2205	1856
543	2208	1851
544	2212	1847
545	2215	1841
546	2218	1837
547	2221	1832
548	2224	1827
549	2227	1822
550	2230	1817
551	2233	1812
552	2236	1807
553	2239	1802
554	2242	1797
555	2245	1792
556	2248	1788
557	2251	1783
558	2254	1778
559	2257	1773
560	2260	1769
561	2265	1765
562	2269	1761
563	2273	1757
564	2281	1756
565	2287	1754
566	2291	1750
567	2295	1746
568	2301	1743
569	2307	1740
570	2312	1737
571	2318	1734
572	2324	1732
573	2331	1730
574	2335	1726
575	2339	1721
576	2342	1717
577	2348	1714
578	2353	1711
579	2356	1706
580	2361	1703
581	2365	1698
582	2369	1695
583	2373	1690
584	2376	1686
585	2381	1682
586	2384	1677
587	2389	1674
588	2393	1670
589	2398	1666
590	2402	1662
591	2405	1658
592	2409	1653
593	2414	1650
594	2419	1646
595	2422	1642
596	2427	1638
597	2430	1633
598	2433	1629
599	2437	1624
600	2440	1620
601	2444	1616
602	2448	1612
603	2454	1609
604	2458	1605
605	2462	1600
606	2466	1596
607	2470	1592
608	2476	1590
609	2481	1586
610	2485	1582
611	2490	1579
612	2493	1574
613	2498	1570
614	2501	1565
615	2504	1561
616	2507	1556
617	2513	1553
618	2517	1549
619	2520	1544
620	2523	1540
621	2527	1536
622	2530	1531
623	2534	1527
624	2537	1522
625	2542	1518
626	2545	1514
627	2549	1510
628	2552	1505
629	2557	1501
630	2560	1497
631	2564	1493
632	2567	1488
633	2571	1484
634	2574	1480
635	2579	1476
636	2582	1471
637	2586	1467
638	2589	1462
639	2593	1458
640	2596	1454
641	2600	1450
642	2603	1445
643	2608	1442
644	2611	1437
645	2615	1433
646	2618	1428
647	2622	1424
648	2625	1420
649	2629	1415
650	2633	1411
651	2637	1407
652	2641	1403
653	2645	1399
654	2650	1395
655	2654	1391
656	2658	1388
657	2663	1384
658	2668	1380
659	2671	1376
660	2674	1371
661	2677	1367
662	2680	1362
663	2683	1357
664	2686	1353
665	2689	1348
666	2693	1344
667	2696	1340
668	2699	1335
669	2702	1331
670	2705	1326
671	2708	1321
672	2711	1317
673	2714	1312
674	2716	1308
675	2719	1303
676	2722	1299
677	2725	1294
678	2728	1289
679	2731	1285
680	2734	1280
681	2737	1276
682	2740	1271
683	2743	1267
684	2746	1262
685	2749	1258
686	2751	1253
687	2754	1249
688	2757	1244
689	2760	1240
690	2763	1235
691	2766	1231
692	2768	1226
693	2771	1222
694	2774	1217
695	2777	1213
696	2780	1208
697	2783	1204
698	2786	1199
699	2789	1195
700	2792	1191
701	2795	1186
702	2798	1182
703	2801	1177
704	2804	1173
705	2806	1168
706	2809	1164
707	2812	1159
708	2816	1156
709	2820	1152
710	2825	1148
711	2829	1144
712	2833	1140
713	2837	1136
714	2841	1132
715	2845	1128
716	2849	1124
717	2854	1121
718	2858	1117
719	2863	1113
720	2868	1109
721	2871	1105
722	2874	1101
723	2877	1096
724	2880	1092
725	2883	1088
726	2886	1083
727	2889	1079
728	2894	1076
729	2898	1072
730	2901	1067
731	2904	1063
732	2908	1059
733	2911	1054
734	2914	1050
735	2918	1046
736	2922	1042
737	2927	1039
738	2932	1035
739	2942	1034
740	2949	1030
741	2956	1028
742	2962	1024
743	2968	1021
744	2974	1018
745	2978	1014
746	2987	1011
747	2996	1009
748	3009	1008
749	3013	1004
750	3018	1000
751	3024	997
752	3030	994
753	3035	990
754	3039	986
755	3046	983
756	3059	982
757	3065	978
758	3071	975
759	3079	972
760	3089	970
761	3095	966
762	3100	962
763	3108	960
764	3120	958
765	3124	954
766	3130	950
767	3139	948
768	3149	946
769	3153	942
770	3159	938
771	3164	934
772	3168	930
773	3174	926
774	3178	922
775	3185	919
776	3191	915
777	3195	911
778	3201	908
779	3206	904
780	3216	901
781	3226	899
782	3233	895
783	3237	892
784	3244	888
785	3248	884
786	3252	880
787	3257	876
788	3263	872
789	3274	870
790	3278	866
791	3285	862
792	3289	858
793	3297	855
794	3305	852
795	3311	848
796	3315	844
797	3319	840
798	3323	836
799	3327	831
800	3331	827
801	3337	823
802	3341	819
803	3347	815
804	3350	811
805	3354	807
806	3357	802
807	3360	798
808	3364	794
809	3368	790
810	3370	785
811	3375	781
812	3379	777
813	3383	773
814	3386	768
815	3390	764
816	3394	760
817	3398	756
818	3402	751
819	3406	747
820	3412	743
821	3415	739
822	3418	735
823	3423	731
824	3426	726
825	3430	722
826	3433	718
827	3436	713
828	3439	709
829	3442	705
830	3446	700
831	3449	696
832	3452	692
833	3456	687
834	3459	683
835	3462	679
836	3466	674
837	3469	670
838	3472	666
839	3476	662
840	3480	658
841	3483	653
842	3487	649
843	3490	645
844	3495	641
845	3499	637
846	3504	632
847	3509	628
848	3512	624
849	3517	620
850	3525	617
851	3533	613
852	3546	611
853	3551	607
854	3567	604
855	3578	601
856	3583	597
857	3594	594
858	3603	591
859	3608	587
860	3612	583
861	3619	579
862	3625	575
863	3636	572
864	3641	568
865	3649	564
866	3655	560
867	3660	556
868	3670	553
869	3675	549
870	3686	545
871	3690	541
872	3702	538
873	3706	534
874	3716	530
875	3720	526
876	3726	522
877	3734	518
878	3739	514
879	3747	511
880	3751	506
881	3765	503
882	3771	499
883	3778	495
884	3783	491
885	3790	487
886	3797	483
887	3809	480
888	3813	476
889	3821	472
890	3829	468
891	3835	464
892	3841	460
893	3849	456
894	3856	452
895	3860	448
896	3873	444
897	3878	440
898	3883	436
899	3888	432
900	3893	427
901	3903	424
902	3908	419
903	3914	415
904	3923	411
905	3927	407
906	3933	403
907	3939	399
908	3945	394
909	3954	391
910	3959	386
911	3966	382
912	3972	378
913	3982	374
914	3986	370
915	3995	366
916	3999	362
917	4011	358
918	4015	353
919	4019	349
920	4028	345
921	4032	341
922	4043	337
923	4047	332
924	4055	328
925	4059	324
926	4071	320
927	4076	316
928	4085	312
929	4090	307
930	4101	303
931	4105	299
932	4111	295
933	4118	291
934	4123	286
935	4129	282
936	4134	277
937	4140	273
938	4150	269
939	4155	265
940	4164	261
941	4168	256
942	4176	252
943	4182	248
944	4186	243
945	4197	239
946	4204	235
947	4212	231
948	4225	227
949	4229	222
950	4234	218
951	4242	213
952	4250	209
953	4257	205
954	4262	200
955	4274	196
956	4278	192
957	4289	188
958	4293	183
959	4303	179
960	4307	174
961	4311	170
962	4321	166
963	4325	161
964	4332	157
965	4337	152
966	4342	148
967	4352	143
968	4357	139
969	4369	135
970	4376	130
971	4385	126
972	4389	121
973	4402	117
974	4406	112
975	4413	108
976	4418	104
977	4427	99
978	4434	95
979	4439	90
980	4447	86
981	4451	81
982	4463	77
983	4467	72
984	4481	68
985	4488	63
986	4498	59
987	4505	54
988	4517	50
989	4522	45
990	4528	41
991	4534	36
992	4543	32
993	4547	27
994	4552	22
995	4559	18
996	4563	13
997	4572	9
998	4576	4
999	4580	0
